model,n_seeds,n_params,f1_mean,f1_std,auc_mean,auc_std,far_mean,normal_spec_mean,MITM_mean,MITM_std,Ransomware_mean,Ransomware_std,Backdoor_mean,Backdoor_std,Port_Scanning_mean,Port_Scanning_std
tide,5,627201,0.907107328330493,0.014691906239961765,0.9973336222688255,0.000650298866379246,0.0019103627584499197,0.9980896372415501,0.1184549356223176,0.0,0.8526664214784846,0.01680322302462028,0.7924958691008746,0.056196527882552166,0.9209593604263823,0.022989018826663113
cnn,5,20097,0.980382194702981,0.00409259604845421,0.9902230186881408,0.00026286568192521577,0.001782221121703603,0.9982177788782962,0.07896995708154507,0.0,0.9998528870908423,0.0002942258183155744,0.9768750251884093,0.02208912999446244,0.9964112813679769,0.007155250524036231
lstm,5,217217,0.9447102698883738,0.01768846024212329,0.9970039202444532,0.0008532447333155923,0.0057502785687755355,0.9942497214312244,0.2865236051502146,0.1761622684798605,0.999540272158882,0.00047242488336391396,0.8580905170676661,0.11338021245029255,0.9941816566733289,0.01096123563396744
dlinear,5,230657,0.880182453908087,0.02203929783028997,0.9871294613512436,0.0015512233002820453,0.0018323635012999877,0.9981676364987001,0.08257510729613735,0.0026816307900108657,0.8316292754689224,0.05229155206274821,0.642042477733446,0.05946629550292548,0.9816477903619809,0.010249011549330856
transformer,5,203137,0.9868991452946666,0.0023958966976243266,0.9977044869287749,0.003030368739037961,0.001880029714002724,0.9981199702859973,0.6296995708154506,0.29971249892984575,0.9981610886355277,0.0016104916547121032,0.9804860355458832,0.00886882573783848,0.9996269153897401,0.0007461692205196435
