Backbone,Config,Attack class,Asset,Impact used,Windows,Detected,Delay (windows)
DLinear,B,MITM,N4_sensor,1.000000,194,True,1.000000
DLinear,B,Uploading,N3_hmi,1.000000,7478,True,2.000000
DLinear,B,Ransomware,N5_plc,1.000000,2136,True,1.000000
DLinear,B,SQL_injection,N2_scada,1.000000,10192,True,1.000000
DLinear,B,DDoS_HTTP,N1_gateway,1.000000,9934,True,1.000000
DLinear,B,DDoS_TCP,N1_gateway,1.000000,9964,True,1.000000
DLinear,B,Password,N3_hmi,1.000000,9982,True,1.000000
DLinear,B,Port_Scanning,N1_gateway,1.000000,4464,True,1.000000
DLinear,B,Vulnerability_scanner,N1_gateway,1.000000,9973,True,1.000000
DLinear,B,Backdoor,N2_scada,1.000000,4924,True,1.000000
DLinear,B,XSS,N1_gateway,1.000000,3134,True,1.000000
DLinear,B,Fingerprinting,N4_sensor,1.000000,152,True,1.000000
DLinear,B,DDoS_UDP,N1_gateway,1.000000,24265,True,1.000000
DLinear,B,DDoS_ICMP,N1_gateway,1.000000,23239,True,1.000000
DLinear,B+K,MITM,N4_sensor,1.000000,194,True,3.000000
DLinear,B+K,Uploading,N3_hmi,1.000000,7478,True,4.000000
DLinear,B+K,Ransomware,N5_plc,1.000000,2136,True,3.000000
DLinear,B+K,SQL_injection,N2_scada,1.000000,10192,True,3.000000
DLinear,B+K,DDoS_HTTP,N1_gateway,1.000000,9934,True,3.000000
DLinear,B+K,DDoS_TCP,N1_gateway,1.000000,9964,True,3.000000
DLinear,B+K,Password,N3_hmi,1.000000,9982,True,3.000000
DLinear,B+K,Port_Scanning,N1_gateway,1.000000,4464,True,3.000000
DLinear,B+K,Vulnerability_scanner,N1_gateway,1.000000,9973,True,3.000000
DLinear,B+K,Backdoor,N2_scada,1.000000,4924,True,3.000000
DLinear,B+K,XSS,N1_gateway,1.000000,3134,True,3.000000
DLinear,B+K,Fingerprinting,N4_sensor,1.000000,152,True,3.000000
DLinear,B+K,DDoS_UDP,N1_gateway,1.000000,24265,True,3.000000
DLinear,B+K,DDoS_ICMP,N1_gateway,1.000000,23239,True,3.000000
DLinear,B+A,MITM,N4_sensor,0.210000,194,False,
DLinear,B+A,Uploading,N3_hmi,0.580000,7478,True,2.000000
DLinear,B+A,Ransomware,N5_plc,0.810000,2136,True,1.000000
DLinear,B+A,SQL_injection,N2_scada,0.900000,10192,True,1.000000
DLinear,B+A,DDoS_HTTP,N1_gateway,0.810000,9934,True,1.000000
DLinear,B+A,DDoS_TCP,N1_gateway,0.810000,9964,True,1.000000
DLinear,B+A,Password,N3_hmi,0.580000,9982,True,1.000000
DLinear,B+A,Port_Scanning,N1_gateway,0.810000,4464,True,1.000000
DLinear,B+A,Vulnerability_scanner,N1_gateway,0.810000,9973,True,1.000000
DLinear,B+A,Backdoor,N2_scada,0.900000,4924,True,1.000000
DLinear,B+A,XSS,N1_gateway,0.810000,3134,True,1.000000
DLinear,B+A,Fingerprinting,N4_sensor,0.210000,152,False,
DLinear,B+A,DDoS_UDP,N1_gateway,0.810000,24265,True,1.000000
DLinear,B+A,DDoS_ICMP,N1_gateway,0.810000,23239,True,1.000000
DLinear,B+G,MITM,N4_sensor,1.000000,194,True,1.000000
DLinear,B+G,Uploading,N3_hmi,1.000000,7478,True,2.000000
DLinear,B+G,Ransomware,N5_plc,1.000000,2136,True,1.000000
DLinear,B+G,SQL_injection,N2_scada,1.000000,10192,True,1.000000
DLinear,B+G,DDoS_HTTP,N1_gateway,1.000000,9934,True,1.000000
DLinear,B+G,DDoS_TCP,N1_gateway,1.000000,9964,True,1.000000
DLinear,B+G,Password,N3_hmi,1.000000,9982,True,1.000000
DLinear,B+G,Port_Scanning,N1_gateway,1.000000,4464,True,1.000000
DLinear,B+G,Vulnerability_scanner,N1_gateway,1.000000,9973,True,1.000000
DLinear,B+G,Backdoor,N2_scada,1.000000,4924,True,1.000000
DLinear,B+G,XSS,N1_gateway,1.000000,3134,True,1.000000
DLinear,B+G,Fingerprinting,N4_sensor,1.000000,152,True,1.000000
DLinear,B+G,DDoS_UDP,N1_gateway,1.000000,24265,True,1.000000
DLinear,B+G,DDoS_ICMP,N1_gateway,1.000000,23239,True,1.000000
DLinear,FULL,MITM,N4_sensor,0.210000,194,False,
DLinear,FULL,Uploading,N3_hmi,0.580000,7478,True,6.000000
DLinear,FULL,Ransomware,N5_plc,0.810000,2136,True,3.000000
DLinear,FULL,SQL_injection,N2_scada,0.900000,10192,True,3.000000
DLinear,FULL,DDoS_HTTP,N1_gateway,0.810000,9934,True,3.000000
DLinear,FULL,DDoS_TCP,N1_gateway,0.810000,9964,True,3.000000
DLinear,FULL,Password,N3_hmi,0.580000,9982,True,3.000000
DLinear,FULL,Port_Scanning,N1_gateway,0.810000,4464,True,3.000000
DLinear,FULL,Vulnerability_scanner,N1_gateway,0.810000,9973,True,3.000000
DLinear,FULL,Backdoor,N2_scada,0.900000,4924,True,3.000000
DLinear,FULL,XSS,N1_gateway,0.810000,3134,True,3.000000
DLinear,FULL,Fingerprinting,N4_sensor,0.210000,152,False,
DLinear,FULL,DDoS_UDP,N1_gateway,0.810000,24265,True,3.000000
DLinear,FULL,DDoS_ICMP,N1_gateway,0.810000,23239,True,3.000000
LSTM,B,MITM,N4_sensor,1.000000,194,True,1.000000
LSTM,B,Uploading,N3_hmi,1.000000,7478,True,1.000000
LSTM,B,Ransomware,N5_plc,1.000000,2136,True,1.000000
LSTM,B,SQL_injection,N2_scada,1.000000,10192,True,1.000000
LSTM,B,DDoS_HTTP,N1_gateway,1.000000,9934,True,1.000000
LSTM,B,DDoS_TCP,N1_gateway,1.000000,9964,True,1.000000
LSTM,B,Password,N3_hmi,1.000000,9982,True,1.000000
LSTM,B,Port_Scanning,N1_gateway,1.000000,4464,True,1.000000
LSTM,B,Vulnerability_scanner,N1_gateway,1.000000,9973,True,1.000000
LSTM,B,Backdoor,N2_scada,1.000000,4924,True,1.000000
LSTM,B,XSS,N1_gateway,1.000000,3134,True,1.000000
LSTM,B,Fingerprinting,N4_sensor,1.000000,152,True,1.000000
LSTM,B,DDoS_UDP,N1_gateway,1.000000,24265,True,1.000000
LSTM,B,DDoS_ICMP,N1_gateway,1.000000,23239,True,1.000000
LSTM,B+K,MITM,N4_sensor,1.000000,194,True,3.000000
LSTM,B+K,Uploading,N3_hmi,1.000000,7478,True,3.000000
LSTM,B+K,Ransomware,N5_plc,1.000000,2136,True,3.000000
LSTM,B+K,SQL_injection,N2_scada,1.000000,10192,True,3.000000
LSTM,B+K,DDoS_HTTP,N1_gateway,1.000000,9934,True,3.000000
LSTM,B+K,DDoS_TCP,N1_gateway,1.000000,9964,True,3.000000
LSTM,B+K,Password,N3_hmi,1.000000,9982,True,3.000000
LSTM,B+K,Port_Scanning,N1_gateway,1.000000,4464,True,3.000000
LSTM,B+K,Vulnerability_scanner,N1_gateway,1.000000,9973,True,3.000000
LSTM,B+K,Backdoor,N2_scada,1.000000,4924,True,3.000000
LSTM,B+K,XSS,N1_gateway,1.000000,3134,True,3.000000
LSTM,B+K,Fingerprinting,N4_sensor,1.000000,152,True,3.000000
LSTM,B+K,DDoS_UDP,N1_gateway,1.000000,24265,True,3.000000
LSTM,B+K,DDoS_ICMP,N1_gateway,1.000000,23239,True,3.000000
LSTM,B+A,MITM,N4_sensor,0.210000,194,False,
LSTM,B+A,Uploading,N3_hmi,0.580000,7478,True,1.000000
LSTM,B+A,Ransomware,N5_plc,0.810000,2136,True,1.000000
LSTM,B+A,SQL_injection,N2_scada,0.900000,10192,True,1.000000
LSTM,B+A,DDoS_HTTP,N1_gateway,0.810000,9934,True,1.000000
LSTM,B+A,DDoS_TCP,N1_gateway,0.810000,9964,True,1.000000
LSTM,B+A,Password,N3_hmi,0.580000,9982,True,1.000000
LSTM,B+A,Port_Scanning,N1_gateway,0.810000,4464,True,1.000000
LSTM,B+A,Vulnerability_scanner,N1_gateway,0.810000,9973,True,1.000000
LSTM,B+A,Backdoor,N2_scada,0.900000,4924,True,1.000000
LSTM,B+A,XSS,N1_gateway,0.810000,3134,True,1.000000
LSTM,B+A,Fingerprinting,N4_sensor,0.210000,152,False,
LSTM,B+A,DDoS_UDP,N1_gateway,0.810000,24265,True,1.000000
LSTM,B+A,DDoS_ICMP,N1_gateway,0.810000,23239,True,1.000000
LSTM,B+G,MITM,N4_sensor,1.000000,194,True,1.000000
LSTM,B+G,Uploading,N3_hmi,1.000000,7478,True,1.000000
LSTM,B+G,Ransomware,N5_plc,1.000000,2136,True,1.000000
LSTM,B+G,SQL_injection,N2_scada,1.000000,10192,True,1.000000
LSTM,B+G,DDoS_HTTP,N1_gateway,1.000000,9934,True,1.000000
LSTM,B+G,DDoS_TCP,N1_gateway,1.000000,9964,True,1.000000
LSTM,B+G,Password,N3_hmi,1.000000,9982,True,1.000000
LSTM,B+G,Port_Scanning,N1_gateway,1.000000,4464,True,1.000000
LSTM,B+G,Vulnerability_scanner,N1_gateway,1.000000,9973,True,1.000000
LSTM,B+G,Backdoor,N2_scada,1.000000,4924,True,1.000000
LSTM,B+G,XSS,N1_gateway,1.000000,3134,True,1.000000
LSTM,B+G,Fingerprinting,N4_sensor,1.000000,152,True,1.000000
LSTM,B+G,DDoS_UDP,N1_gateway,1.000000,24265,True,1.000000
LSTM,B+G,DDoS_ICMP,N1_gateway,1.000000,23239,True,1.000000
LSTM,FULL,MITM,N4_sensor,0.210000,194,False,
